wheel,pos,name,rec_num,mass,he_added
USAMS020521,6,C-1,83028,32.05,NA
USAMS020521,7,TIRI-F,2138,33.56,NA
USAMS020521,9,TIRI-I,17185,32.67,NA
USAMS020521,10,TIRI-I,17185,32.35,NA
USAMS020521,11,C-2,1082,31.35,NA
USAMS020521,12,C-2,1082,34.11,NA
USAMS020521,13,NOSAMS2,38809,32.3,NA
USAMS020521,14,NOSAMS2,38809,34,NA
USAMS030421,7,C1-1,83028,33.69,NA
USAMS030421,8,C1-2,83028,31.62,NA
USAMS030421,9,C2-1,1082,32.7,NA
USAMS030421,10,C2-2,1082,32.08,NA
USAMS030421,11,NOSAMS2-1,38809,33.23,NA
USAMS030421,12,NOSAMS2-2,38809,33.95,NA
USAMS040121,31,NOSAMS2_1,38809,31.8,NA
USAMS040121,32,NOSAMS2_2,38809,32.3,NA
USAMS040121,33,NOSAMS2_3,38809,33.5,NA
USAMS040121,34,TIRI-I_1,17185,33.1,NA
USAMS040121,35,TIRI-I_2,17185,31.8,NA
USAMS040121,36,TIRI-I_3,17185,31.8,NA
USAMS040121,28,TIRI-F_1,2138,31.9,NA
USAMS040121,29,TIRI-F_2,2138,33.4,NA
USAMS040121,30,TIRI-F_3,2138,32.4,NA
USAMS041521,27,C-1_1,83028,30.05,NA
USAMS041521,28,C-1_2,83028,36,NA
USAMS041521,29,C-1_3,83028,31.88,NA
USAMS041521,30,C-2_1,1082,32.57,NA
USAMS041521,31,C-2_2,1082,35.5,NA
USAMS041521,32,C-2_3,1082,34.1,NA
USAMS041521,33,NOSAMS-2_1,38809,35.2,NA
USAMS041521,34,NOSAMS-2_2,38809,32.19,NA
USAMS041521,35,NOSAMS-2_3,38809,33.2,NA
USAMS051421,20,C1_1,83028,31.61,NA
USAMS051421,35,C1_2,83028,34.3,NA
USAMS051421,50,C1_3,83028,33.17,NA
USAMS051421,25,TIRI-I_1,17185,32.74,NA
USAMS051421,40,TIRI-I_2,17185,31.58,NA
USAMS051421,55,TIRI-I_3,17185,33.25,NA
USAMS051421,30,NOSAMS2_1,38809,33.31,NA
USAMS051421,45,NOSAMS2_2,38809,31.89,NA
USAMS051421,60,NOSAMS2_3,38809,36.47,NA
USAMS052621,6,C1_1,83028,30.73,NA
USAMS052621,9,C1_2,83028,31.59,NA
USAMS052621,11,C1_3,83028,30.8,NA
USAMS052621,7,C2_1,1082,32.72,NA
USAMS052621,10,C2_2,1082,30.52,NA
USAMS052621,12,C2_3,1082,25.06,NA
USAMS052621,14,HATC1-D2_2:7,171989,31.2,NA
USAMS052621,15,HATC1-D2_5:7,171995,35.4,NA
USAMS052621,16,HATC1-D2_6:7,171999,30.5,NA
USAMS052621,18,C-2_1,1082,6.03,NA
USAMS052621,19,C-2_2,1082,11.1,NA
USAMS052621,20,C-2_3,1082,15.52,NA
USAMS061121,4,C1_1,83028,8.29,5
USAMS061121,8,C1_2,83028,9.01,5
USAMS061121,12,C1_3,83028,9,5
USAMS061121,16,C1_4,83028,8.14,5
USAMS061121,5,C2_1,1082,8.23,5
USAMS061121,9,C2_2,1082,8.77,5
USAMS061121,13,C2_3,1082,7.34,5
USAMS061121,6,NOSAMS-2_1,38809,7.72,5
USAMS061121,10,NOSAMS-2_2,38809,7.69,5
USAMS061121,14,NOSAMS-2_3,38809,8.86,5
USAMS061821,23,C-1_2,83028,9.71,4.2
USAMS061821,27,C-1_3,83028,7.51,4.6
USAMS061821,24,TIRI-I_1,17185,9.61,5
USAMS061821,28,TIRI-I_2,17185,7.89,5
USAMS061821,31,TIRI-I_3,17185,8.33,5
USAMS061821,25,NOSAMS2_1,38809,7.91,5.5
USAMS061821,29,NOSAMS2_2,38809,7.79,5.2
USAMS061821,32,NOSAMS2_3,38809,8.21,5.2
USAMS061821,35,NOSAMS2_5mg,38809,4.76,6.4
USAMS061821,34,NOSAMS2_2mg,38809,2.01,6.8
USAMS062521,23,C-1_2,83028,8.78,5.2
USAMS062521,27,C-1_3,83028,16.32,3.2
USAMS062521,24,TIRI-I_1,17185,5.4,5.8
USAMS062521,28,TIRI-I_2,17185,8.46,5.2
USAMS062521,31,TIRI-I_3,17185,16.39,3.2
USAMS062521,25,NOSAMS2_1,38809,5.32,5.8
USAMS062521,29,NOSAMS2_2,38809,15.57,3.6
USAMS062521,32,NOSAMS2_3,38809,9.32,5.2
USAMS062921,10,C-1_1,83028,15.01,4
USAMS062921,22,C-1_2,83028,15.13,4
USAMS062921,6,6:7_39-40,171996,16.12,1
USAMS062921,7,4:7_10-11,171992,16.54,3
USAMS062921,8,1:1_12-13,171987,18.33,2.2
USAMS062921,9,1:1_81_82,171988,15.89,3.2
USAMS062921,12,2:7_90-91,171989,16.97,3
USAMS062921,13,3:7_25-26,171990,16.12,3.2
USAMS062921,14,3:7_73-74,171991,17.37,2.8
USAMS062921,15,4:7_95-96,171993,17.32,3
USAMS062921,17,5:7_57-58,171994,14.91,4
USAMS062921,18,5:7_108-109,171995,16.08,3
USAMS062921,19,7:7_8-9,172000,15.95,2
USAMS062921,20,7:7_47-48,172001,16.09,2
USAMS062921,23,6:7_60-61,171997,16.09,3.6
USAMS062921,24,6:7_90-91,171998,18.37,2.6
USAMS062921,25,6:7_120-121,171999,15.36,4
